Ct OIII SII NII OII Ha Hb
260 2.8072E+33 2.1168E+32 7.7940E+32 1.0307E+33 1.7267E+34 6.1724E+33
261 1.1028E+35 1.1643E+33 1.2638E+32 1.0386E+34 2.2103E+35 8.0762E+34
262 2.8501E+33 2.6912E+32 9.7245E+32 1.2266E+33 1.9757E+34 7.0475E+33
263 1.3860E+35 2.0597E+33 2.4041E+32 1.8299E+34 3.0676E+35 1.1174E+35
264 2.8661E+33 3.4236E+32 1.1710E+33 1.4030E+33 2.2371E+34 7.9569E+33
265 1.5829E+35 3.0521E+33 3.7757E+32 2.6815E+34 3.8200E+35 1.3890E+35
266 1.9018E+35 9.1179E+33 2.6924E+34 3.3455E+34 8.0023E+35 2.8363E+35
267 1.7289E+35 4.2207E+33 5.4888E+32 3.6346E+34 4.5445E+35 1.6499E+35
268 1.8591E+35 6.1856E+33 8.4700E+32 5.0777E+34 5.5120E+35 1.9973E+35
269 1.9122E+35 8.0377E+33 1.1198E+33 6.2212E+34 6.2313E+35 2.2542E+35
270 3.8170E+34 8.4283E+31 1.6604E+32 3.9725E+32 7.1784E+34 2.6196E+34
271 1.9378E+35 1.0838E+34 1.4739E+33 7.5096E+34 7.0828E+35 2.5564E+35
272 7.0586E+34 3.0407E+32 6.2922E+32 1.3623E+33 1.4973E+35 5.4313E+34
273 9.7840E+34 6.1577E+32 1.3628E+33 2.7796E+33 2.2583E+35 8.1721E+34
274 1.2006E+35 9.8425E+32 2.3316E+33 4.5435E+33 2.9599E+35 1.0693E+35
275 1.4628E+35 1.6262E+33 4.2638E+33 7.8258E+33 3.9214E+35 1.4137E+35
276 1.6341E+35 2.2738E+33 6.5127E+33 1.1355E+34 4.6897E+35 1.6875E+35
277 1.7583E+35 3.0168E+33 9.4142E+33 1.5539E+34 5.4067E+35 1.9417E+35
