Ct OIII SII NII OII Ha Hb
145 1.1990E+34 3.4571E+34 8.9885E+33 5.6222E+34 1.1363E+35 4.0484E+34
146 3.2969E+33 3.3688E+33 9.0629E+34 1.2188E+34 1.1589E+35 4.1891E+34
147 7.5274E+33 9.3705E+33 7.8140E+34 2.9579E+34 1.1637E+35 4.2004E+34
148 8.8665E+33 1.1223E+34 3.0454E+33 4.1254E+34 1.1598E+35 4.1915E+34
149 3.2084E+33 3.7508E+32 1.7302E+34 4.0897E+33 3.5159E+34 1.2828E+34
150 3.2954E+33 6.6760E+32 2.8216E+34 5.4926E+33 4.7722E+34 1.7379E+34
151 7.3433E+33 1.0250E+33 1.4653E+34 9.2733E+33 3.6864E+34 1.3403E+34
152 3.2969E+33 1.0047E+33 3.9221E+34 6.7000E+33 5.9524E+34 2.1651E+34
153 7.5251E+33 1.7976E+33 2.3626E+34 1.2453E+34 4.9160E+34 1.7846E+34
154 8.6037E+33 1.1991E+33 5.4906E+32 1.2191E+34 3.6422E+34 1.3272E+34
155 3.2969E+33 1.2999E+33 4.7842E+34 7.6458E+33 6.8691E+34 2.4968E+34
156 8.8645E+33 2.2369E+33 9.3930E+32 1.7427E+34 4.9107E+34 1.7872E+34
157 7.5274E+33 2.7439E+33 3.3249E+34 1.5437E+34 6.1559E+34 2.2323E+34
158 3.2969E+33 1.7503E+33 5.9654E+34 8.9506E+33 8.1113E+34 2.9460E+34
159 3.2969E+33 2.3239E+33 7.2806E+34 1.0407E+34 9.4886E+34 3.4432E+34
160 7.5274E+33 3.6971E+33 4.1838E+34 1.8134E+34 7.2347E+34 2.6219E+34
161 8.8665E+33 3.2969E+33 1.2938E+33 2.1634E+34 5.9573E+34 2.1666E+34
162 3.2969E+33 2.9274E+33 8.4447E+34 1.1659E+34 1.0762E+35 3.9003E+34
163 7.5274E+33 4.8354E+33 5.1058E+34 2.1091E+34 8.3527E+34 3.0257E+34
164 8.8665E+33 4.3888E+33 1.6190E+33 2.5467E+34 6.9254E+34 2.5172E+34
165 8.4399E+33 1.0651E+34 2.8662E+34 3.7431E+34 1.1604E+35 4.1930E+34
166 7.5274E+33 6.5096E+33 6.2979E+34 2.4997E+34 9.7453E+34 3.5281E+34
167 8.8665E+33 5.8934E+33 2.0183E+33 3.0151E+34 8.1255E+34 2.9513E+34
168 1.1941E+34 2.1884E+34 5.5301E+34 5.1385E+34 1.1771E+35 4.2280E+34
169 7.5274E+33 8.1037E+33 7.2565E+34 2.8115E+34 1.0868E+35 3.9315E+34
170 8.8665E+33 7.8428E+33 2.4681E+33 3.5355E+34 9.5129E+34 3.4518E+34
171 8.8665E+33 9.8373E+33 2.8523E+33 3.9591E+34 1.0793E+35 3.9107E+34
172 8.2097E+33 1.1547E+33 5.2631E+33 1.1296E+34 3.6712E+34 1.3369E+34
173 1.1648E+34 2.2054E+33 9.6501E+33 1.3810E+34 3.8899E+34 1.4027E+34
174 8.4381E+33 2.1181E+33 8.8530E+33 1.5850E+34 4.9358E+34 1.7951E+34
175 1.1940E+34 4.0377E+33 1.6194E+34 1.9303E+34 5.2290E+34 1.8835E+34
176 8.4399E+33 3.1428E+33 1.2232E+34 1.9640E+34 6.0328E+34 2.1924E+34
177 1.1941E+34 5.4778E+33 2.0775E+34 2.2771E+34 6.1206E+34 2.2035E+34
178 8.4399E+33 4.2099E+33 1.5359E+34 2.3148E+34 7.0457E+34 2.5590E+34
179 1.1941E+34 8.1381E+33 2.8275E+34 2.8594E+34 7.5217E+34 2.7066E+34
180 8.4399E+33 5.5941E+33 1.8986E+34 2.7231E+34 8.2137E+34 2.9814E+34
181 1.1941E+34 1.0775E+34 3.4859E+34 3.3929E+34 8.6693E+34 3.1190E+34
182 8.4399E+33 7.1692E+33 2.2631E+34 3.1325E+34 9.3935E+34 3.4073E+34
183 1.1941E+34 1.4213E+34 4.2492E+34 4.0453E+34 9.8875E+34 3.5572E+34
184 8.4399E+33 9.2257E+33 2.6652E+34 3.5696E+34 1.0763E+35 3.8989E+34
185 1.1941E+34 1.8509E+34 5.0628E+34 4.7778E+34 1.1064E+35 3.9800E+34
186 1.3258E+34 2.5103E+34 6.4589E+33 6.5748E+34 1.1723E+35 4.2189E+34
187 5.9481E+33 3.4984E+32 1.8231E+33 5.8901E+33 1.0726E+35 3.9247E+34
188 1.2870E+34 2.4262E+33 1.0700E+33 1.6456E+34 3.8498E+34 1.3905E+34
189 6.2136E+33 6.4567E+32 3.2150E+33 8.4294E+33 1.4463E+35 5.2820E+34
190 6.2192E+33 1.0204E+33 4.8785E+33 1.0824E+34 1.8046E+35 6.5824E+34
191 6.2192E+33 1.3188E+33 6.0462E+33 1.2455E+34 2.0639E+35 7.5222E+34
192 6.2192E+33 1.9042E+33 8.0275E+33 1.5154E+34 2.5253E+35 9.1909E+34
193 6.2192E+33 2.3677E+33 9.3639E+33 1.6914E+34 2.8579E+35 1.0390E+35
194 1.3257E+34 4.7130E+33 1.9004E+33 2.4372E+34 5.2444E+34 1.8928E+34
